"Modified","CVE-2011-3178","CWE-78" "CWE-94",,,,,,,,,"security@opentext.com" "nvd@nist.gov",8.1 8.8,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:opensuse:open_build_service:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-0486","CWE-20",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:nic:knot_cms:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-1215","CWE-119",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:coreftp:core_ftp:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-1457","CWE-352",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:openwebanalytics:open_web_analytics:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-1665","CWE-79",,,,,,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:owncloud:owncloud:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-2031","CWE-125",,,,,,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:maradns_project:maradns:*:*:*:*:*:*:*:*" "cpe:2.3:a:maradns_project:maradns:*:*:*:*:*:*:*:*" "cpe:2.3:a:deadwood_project:deadwood:*:*:*:*:*:*:*:*" "cpe:2.3:a:deadwood_project:deadwood:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-2032","CWE-20" "CWE-125",,,,,,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:maradns_project:maradns:*:*:*:*:*:*:*:*" "cpe:2.3:a:maradns_project:maradns:*:*:*:*:*:*:*:*" "cpe:2.3:a:deadwood_project:deadwood:*:*:*:*:*:*:*:*" "cpe:2.3:a:deadwood_project:deadwood:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-2048","CWE-284",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:owncloud:owncloud:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-2274","CWE-352",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:subscribe_to_comments_reloaded_project:subscribe_to_comments_reloaded:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-2293","CWE-94",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:zikula:zikula_application_framework:*:*:*:*:*:*:*:*"
"Modified","CVE-2014-2297","CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:videowhisper:videowhisper_live_streaming_integration:4.29.6:*:*:*:*:wordpress:*:*"
"Modified","CVE-2014-2312","CWE-59",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",6.6,MEDIUM,"AV:L/AC:L/Au:N/C:N/I:C/A:C","cpe:2.3:a:intel:thermald:*:*:*:*:*:*:*:*"
