"Modified","CVE-2019-11628","CWE-917",,,,,,,,,"cve@mitre.org" "nvd@nist.gov",8.2 6.5,"HIGH" "MEDIUM","CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:qlik:qlikview_server:11.20:service_release_1:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_10:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_11:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_12:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_13:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_14:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_15:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_16:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_17:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_2:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_3:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_4:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_5:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_6:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_7:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_8:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:11.20:service_release_9:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.00:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_1:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_2:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_3:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_4:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_5:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_6:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_7:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_8:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.10:service_release_9:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.20:service_release_1:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.20:service_release_2:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.20:service_release_3:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.20:service_release_4:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlikview_server:12.30:service_release_1:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:april_2018:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:february_2018:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:february_2019:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:june_2017:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:june_2018:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:november_2017:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:november_2018:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:september_2017:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_analytics:september_2018:*:*:*:*:*:*:*" "cpe:2.3:a:qlik:qlik_sense:april_2018:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:february_2018:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:february_2019:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:june_2017:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:june_2018:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:november_2017:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:november_2018:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:september_2017:*:*:*:enterprise:*:*:*" "cpe:2.3:a:qlik:qlik_sense:september_2018:*:*:*:enterprise:*:*:*"
"Modified","CVE-2019-11632","CWE-269",,,,,,,,,"nvd@nist.gov",8.1,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N","nvd@nist.gov",5.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:N","cpe:2.3:a:octopus:octopus_deploy:*:*:*:*:*:*:*:*" "cpe:2.3:a:octopus:octopus_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2019-11633","CWE-200",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:honeypress_project:honeypress:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2018-1608","CWE-326",,,,,,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.9 7.5,"MEDIUM" "HIGH","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N" "CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-1933","CWE-79",,,,,,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.4 5.4,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:planning_analytics:*:*:*:*:*:*:*:*"
"Modified","CVE-2019-4258","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","psirt@us.ibm.com",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:sterling_b2b_integrator:6.0.0.0:*:*:*:standard:*:*:*" "cpe:2.3:a:ibm:sterling_b2b_integrator:6.0.0.1:*:*:*:standard:*:*:*"
"Modified","CVE-2019-11636","CWE-254",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:z.cash:zcash:*:*:*:*:*:*:*:*" "cpe:2.3:a:z.cash:zcash:2.0.5:rc1:*:*:*:*:*:*"
"Modified","CVE-2019-11637","CWE-125" "CWE-476",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:gnu:recutils:1.8:*:*:*:*:*:*:*"
"Modified","CVE-2019-11638","CWE-125" "CWE-476",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:gnu:recutils:1.8:*:*:*:*:*:*:*"
"Modified","CVE-2019-11639","CWE-787",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:gnu:recutils:1.8:*:*:*:*:*:*:*"
"Modified","CVE-2019-11640","CWE-787",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:gnu:recutils:1.8:*:*:*:*:*:*:*"
"Modified","CVE-2019-11641","CWE-330",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:anomali:agave:*:*:*:*:*:*:*:*"
