"Modified","CVE-2003-5001","CWE-269" "NVD-CWE-noinfo",,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:iss_blackice_pc_protection:-:*:*:*:*:*:*:*"
"Modified","CVE-2003-5002","CWE-319" "CWE-319",,,,,"psirt@us.ibm.com" "nvd@nist.gov",3.7 5.3,"LOW" "MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:iss_blackice_pc_protection:-:*:*:*:*:*:*:*"
"Modified","CVE-2003-5003","CWE-80" "CWE-79",,,,,"psirt@us.ibm.com" "nvd@nist.gov",5 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ibm:iss_blackice_pc_protection:-:*:*:*:*:*:*:*"
"Modified","CVE-2005-10001","CWE-601" "CWE-601",,,,,"cna@vuldb.com" "nvd@nist.gov",5.4 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:a:broadcom:symantec_siteminder:4.5.0:*:*:*:*:*:*:*" "cpe:2.3:a:broadcom:symantec_siteminder:4.5.1:*:*:*:*:*:*:*"
"Modified","CVE-2008-10001","CWE-80" "CWE-79",,,,,"cna@vuldb.com" "nvd@nist.gov",5.5 6.1,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:pro2col:stingray_fts:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-10001","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",5.3 5.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:shemes:grabit:*:*:*:*:*:*:*:*" "cpe:2.3:a:shemes:grabit:1.7.2:beta:*:*:*:*:*:*" "cpe:2.3:a:shemes:grabit:1.7.2:beta2:*:*:*:*:*:*" "cpe:2.3:a:shemes:grabit:1.7.2:beta3:*:*:*:*:*:*" "cpe:2.3:a:shemes:grabit:1.7.2:beta4:*:*:*:*:*:*"
"Modified","CVE-2015-10002","CWE-404" "NVD-CWE-noinfo",,,,,"cna@vuldb.com" "nvd@nist.gov",5.3 5.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:kiddoware:kids_place:-:*:*:*:*:*:*:*"
"Modified","CVE-2015-3298","CWE-347",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",5.8,MEDIUM,"AV:A/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:yubico:ykneo-openpgp:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-20011","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:1.8:*:*:*:*:*:*:*"
"Modified","CVE-2017-20012","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-20013","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-20014","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-20015","CWE-404" "CWE-404",,,,,"cna@vuldb.com" "nvd@nist.gov",2.8 5.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-20016","CWE-789" "CWE-770",,,,,"cna@vuldb.com" "nvd@nist.gov",4.3 7.5,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:weka:interest_security_scanner:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-25030","CWE-287" "CWE-287" "CWE-362",,,,,"cna@vuldb.com" "nvd@nist.gov",3.3 2.5,"LOW" "LOW","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N",,,,,"nvd@nist.gov",1.9,LOW,"AV:L/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:mirmay:file_manager:*:*:*:*:*:iphone_os:*:*" "cpe:2.3:a:mirmay:secure_private_browser:*:*:*:*:*:iphone_os:*:*"
"Modified","CVE-2018-25031","CWE-20" "CWE-20" "CWE-918" "CWE-922",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",4.3 4.3,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:smartbear:swagger_ui:*:*:*:*:*:*:*:*"
